min Inj Time,max Inj Time,DTD %,Career Ending Possible Bool,While Pitching/Throwing Bool,While Running/Sliding Bool,Collision Bool,HBP/Fight Bool,Illness Bool,Body Part Code,Diagnosis,descriptive phrase,frequency (1 = rare .. 5 = common),New body part,Chance of re-injury (0 = none. 1 = sometimes. 2 = often),Nagging (0 or 1),Requires surgery (0 = no. 1 = sometimes. 2 = yes),Influence on hitting (0 .. 3),Influence on running (0 .. 3),Influence on throwing  (0 .. 3),,
80,140,0,0,0,0,0,0,1,4,伯格氏病,伯格氏病,1,7,0,1,0,0,0,3,,
18,25,0,0,1,1,0,0,0,2,小腿拉傷,小腿肌肉拉傷,5,3,1,1,0,0,2,0,,
15,35,0,0,1,1,1,0,0,3,慢性背痛,慢性背痛,2,6,2,1,0,2,2,0,,
75,75,0,0,0,0,0,0,1,4,結腸炎,結腸炎,1,0,0,0,0,1,1,1,,
3,21,0,0,1,0,0,0,0,1,死臂,死臂,4,10,1,0,0,0,0,3,,
75,95,0,0,0,1,1,0,0,1,肩關節脫臼,脫臼的肩膀,3,9,0,0,0,1,0,3,,
5,5,0,0,0,0,0,0,1,4,憩室炎,憩室炎,1,0,0,0,0,1,1,1,,
5,12,25,0,0,1,1,1,0,1,肘部挫傷,肘部挫傷,3,8,1,0,0,0,0,2,,
7,95,0,0,1,0,0,0,0,1,肘部炎症,肘部炎症,5,8,1,1,0,0,0,3,,
270,455,0,1,1,0,0,0,0,1,肘韌帶重建手術,肘部韌帶受損,3,8,1,0,2,0,0,3,,
10,90,25,0,1,0,0,0,0,1,肘部拉傷,肘部拉傷,4,8,1,1,0,2,0,2,,
15,75,0,0,1,0,0,0,0,1,肘部肌腱炎,肘部肌腱炎,4,8,1,1,0,0,0,2,,
18,18,0,0,0,0,0,0,1,4,食管痙攣,食管痙攣,1,0,0,0,0,1,1,1,,
5,5,0,0,0,0,0,0,1,4,眼部感染,眼部感染,1,0,0,0,0,2,0,0,,
4,4,0,0,0,0,0,0,1,4,發熱,發燒,2,0,0,0,0,1,1,1,,
15,15,0,0,1,0,0,0,0,1,手指撕脫,手指撕脫,1,7,0,0,0,1,0,2,,
15,15,0,0,0,0,0,0,1,1,手指感染,受感染的手指,2,7,0,1,0,1,0,2,,
27,30,0,0,1,0,0,0,0,1,屈肌-旋前肌勞損（肘部）,屈肌-旋前肌拉傷,2,8,0,0,0,0,0,2,,
1,3,0,0,0,0,0,0,1,4,食物中毒,食物中毒,3,10,0,0,0,1,1,1,,
7,15,0,0,0,1,1,1,0,2,足部挫傷,腳挫傷,2,1,0,0,0,0,2,0,,
15,120,0,0,1,0,0,0,0,1,前臂炎症,前臂炎症,2,10,0,1,0,1,0,2,,
4,9,0,0,1,0,0,0,0,1,前臂僵硬,前臂僵硬,4,10,0,1,0,1,0,2,,
7,27,0,0,1,0,0,0,0,1,前臂肌腱炎,前臂肌腱炎,3,10,1,1,0,1,0,2,,
90,140,0,0,0,1,1,0,0,2,腳踝骨折,腳踝骨折,3,1,0,0,1,0,3,2,,
32,56,0,0,0,0,1,1,0,4,顴骨骨折,顴骨骨折,1,11,0,0,1,3,0,0,,
150,178,0,0,1,0,0,0,0,1,喙突骨折（肩部）,肩部喙突骨折,1,9,0,0,1,1,0,3,,
120,255,0,0,1,0,1,0,0,1,肘部骨折,肘部骨折,1,8,1,0,1,0,0,3,,
180,365,0,1,0,0,0,1,0,4,眼眶骨折,眼眶骨折,1,11,0,0,1,3,0,0,,
80,110,0,0,0,1,1,0,0,2,腓骨骨折,腓骨骨折,3,3,0,0,1,0,3,0,,
28,90,0,0,0,1,1,1,0,1,手指骨折,手指骨折,4,7,0,0,1,2,0,2,,
17,35,0,0,0,1,1,1,0,2,腳骨折,骨折的腳,3,1,0,0,1,0,3,0,,
30,80,0,0,0,1,1,1,0,1,手骨折,一隻骨折的手,3,7,0,0,1,2,0,3,,
165,210,0,0,0,0,1,0,0,2,髖部骨折,髖部骨折,1,4,0,0,1,0,3,0,,
30,32,0,0,0,0,1,1,0,4,頜骨骨折,下巴骨折,1,11,0,0,1,2,0,0,,
140,190,0,0,0,1,0,0,0,2,膝蓋骨折,膝蓋骨折,3,2,0,0,1,0,3,0,,
20,45,0,0,0,1,1,0,0,3,肋骨骨折,肋骨骨折,3,5,0,0,1,2,2,2,,
28,35,0,0,1,0,1,0,0,1,肩胛骨骨折,肩胛骨骨折,2,9,0,0,1,2,0,2,,
175,210,0,1,0,0,1,0,0,4,顱骨骨折,骨折的頭骨,1,11,0,0,1,3,0,0,,
23,56,0,0,0,1,1,1,0,1,拇指骨折,拇指骨折,3,7,0,0,1,2,0,3,,
40,45,0,0,0,1,1,0,0,2,脛骨骨折,脛骨骨折,2,3,0,0,1,0,3,0,,
31,42,0,0,0,0,0,1,0,1,尺骨骨折（手臂）,尺骨骨折,1,10,0,0,1,2,0,3,,
30,75,0,0,0,0,1,1,0,1,手腕骨折,手腕骨折,3,7,0,0,1,2,0,2,,
17,19,0,0,0,0,0,0,1,4,腸胃炎,腸胃炎,1,10,0,0,0,1,1,1,,
10,22,30,0,0,1,0,0,0,2,臀肌拉傷,臀肌拉傷,1,3,0,0,0,0,2,0,,
1,7,0,0,0,0,0,0,1,2,痛風,痛風,1,3,0,1,0,0,2,0,,
1,7,15,0,1,1,0,0,0,2,腿筋酸痛,腿筋酸痛,5,3,0,1,0,1,2,0,,
15,90,0,0,1,1,1,0,0,2,膕繩肌拉傷,腿筋拉傷,5,3,0,1,0,0,2,0,,
3,24,0,0,0,1,0,0,0,2,膕繩肌腱炎,膕繩肌腱炎,4,3,0,1,0,0,2,0,,
3,8,0,0,0,1,1,1,0,1,手挫傷,手挫傷,3,7,0,0,0,0,0,2,,
3,4,0,0,0,0,0,0,1,3,心悸,心悸,1,5,0,0,0,1,1,1,,
21,56,0,0,0,1,1,0,0,2,高位腳踝扭傷,扭傷的腳踝,3,1,0,1,0,0,3,1,,
30,150,0,0,0,1,0,0,0,2,嚴重的髖部拉傷,嚴重拉傷的臀部肌肉,4,3,0,1,0,0,3,0,,
3,8,45,0,0,1,0,0,0,2,腳踝過度伸展,過度伸展的腳踝,2,1,1,1,0,1,2,1,,
4,8,45,0,0,1,0,0,0,2,膝蓋過伸,過度伸展的膝蓋,3,2,1,1,0,1,2,1,,
20,21,0,0,0,0,1,0,0,4,小關節發炎（頸部）,小關節發炎,1,6,1,0,0,2,0,0,,
4,8,35,0,0,0,0,0,1,4,內耳感染,內耳感染,1,10,0,0,0,1,2,0,,
2,39,0,0,0,1,1,0,0,3,肋間拉傷,肋間拉傷,4,5,0,0,0,1,1,1,,
70,74,0,0,0,0,0,0,1,4,腸道病毒,一種腸道病毒,2,10,0,0,0,2,2,2,,
4,4,0,0,0,0,0,0,1,3,腎結石,腎結石,1,10,0,0,0,1,1,1,,
14,15,0,0,0,0,1,0,0,1,撕裂的手指,撕裂的手指,1,7,0,0,0,0,0,3,,
5,41,0,0,0,1,0,0,0,3,背闊肌（背部）應變,緊張的緯度,3,6,1,0,0,2,2,0,,
245,254,0,0,0,0,1,0,0,2,微骨折手術（膝蓋）,膝關節手術,2,2,1,0,2,0,3,0,,
5,60,0,0,1,1,1,0,0,3,斜應變,斜應變,5,5,0,1,0,1,2,0,,
36,120,0,0,1,0,1,0,0,1,部分撕裂的盂唇,部分撕裂的盂唇,5,9,1,0,1,0,0,3,,
255,350,0,1,1,0,0,0,0,1,部分撕裂的倫敦大學學院,尺側副韌帶部分撕裂,5,8,1,0,2,0,0,3,,
180,240,0,1,1,0,0,0,0,1,部分撕裂的 UCL（肘部）,尺側副韌帶部分撕裂,4,8,1,0,1,0,0,3,,
7,15,0,0,0,1,0,0,0,2,髕腱炎,髕腱炎,3,2,2,0,0,0,2,0,,
16,32,0,0,0,0,1,0,0,3,壓迫神經（頸部）,緊張的神經,1,6,1,0,0,2,0,1,,
15,45,0,0,0,1,0,0,0,2,足底筋膜炎,足底筋膜炎,3,1,1,0,0,0,3,0,,
5,5,30,0,0,0,0,0,1,3,胸膜炎,胸膜炎,1,5,0,0,0,0,2,0,,
37,365,0,1,0,0,1,0,0,4,腦震盪後綜合症,腦震盪,3,11,2,1,0,2,2,2,,
29,31,0,0,0,1,0,0,0,2,後交叉韌帶拉傷（膝蓋）,膝蓋後交叉韌帶拉傷,3,2,1,0,0,0,2,0,,
1,3,0,0,0,0,1,1,0,4,預防原因（頭部受傷）,頭部受傷,2,10,0,0,0,1,1,1,,
120,270,0,0,1,0,0,0,0,1,橈神經（肘）減壓手術,橈神經壓迫,2,8,0,0,2,0,0,3,,
30,61,0,0,1,1,1,0,0,3,反復發作的背部痙攣,背部痙攣,3,6,2,1,0,2,2,1,,
65,95,0,0,1,0,0,0,0,1,肩袖炎症,肩袖炎症,4,9,1,1,0,0,0,2,,
15,60,0,0,1,0,0,0,0,1,肩袖拉傷,肩袖拉傷,4,9,1,1,0,0,0,2,,
18,25,0,0,1,0,0,0,0,1,肩袖肌腱炎,肩袖肌腱炎,4,9,1,1,0,0,0,2,,
60,255,0,0,0,1,0,0,0,2,跟腱斷裂,跟腱斷裂,2,2,1,0,1,0,3,0,,
180,200,0,0,1,0,0,0,0,1,二頭肌腱斷裂,二頭肌腱斷裂,1,10,0,0,2,0,0,3,,
180,270,0,0,1,0,1,0,0,3,破裂的椎間盤（背面）,破裂的椎間盤,1,6,2,0,2,2,2,1,,
180,360,0,0,0,1,0,0,0,2,內側副韌帶斷裂,內側副韌帶斷裂,2,2,1,0,2,0,3,0,,
90,130,0,0,1,0,1,0,0,1,肌腱斷裂（手指）,手指肌腱斷裂,3,7,0,0,1,0,0,3,,
140,160,0,0,0,1,1,0,0,2,肌腱斷裂（腳）,腳腱斷裂,2,1,0,0,2,0,3,0,,
160,180,0,0,1,0,0,0,0,1,三頭肌腱斷裂,三頭肌腱斷裂,1,10,0,0,2,0,0,3,,
270,455,0,1,1,0,0,0,0,1,尺側副韌帶斷裂,尺側副韌帶破裂,2,8,1,0,2,0,0,3,,
18,56,0,0,0,0,1,0,0,1,分離肩,分開的肩膀,4,9,0,0,0,0,0,3,,
26,50,0,0,1,0,0,0,0,1,肩部滑囊炎,肩部滑囊炎,2,9,0,0,0,0,0,3,,
130,150,0,0,1,0,0,0,0,1,肩部撞擊,肩膀酸痛,2,9,0,0,1,0,0,3,,
16,240,0,0,1,0,0,0,0,1,肩部炎症,肩部炎症,5,9,0,0,1,0,0,3,,
7,9,30,0,1,0,1,0,0,1,肩關節半脫位,肩部半脫位,3,9,0,0,0,0,0,2,,
55,65,0,0,1,0,0,0,0,1,肩部手術（疤痕組織）,肩膀酸痛,3,9,0,0,1,0,0,3,,
40,90,0,0,0,1,0,0,0,2,運動疝氣,運動疝氣,2,4,0,0,0,2,3,0,,
78,82,0,0,1,0,0,0,0,1,肩鎖關節扭傷,他肩膀上的 AC 關節扭傷,2,9,1,1,0,0,0,2,,
26,30,0,0,1,0,0,0,0,1,尺側副韌帶（肘部）扭傷,扭傷的 UCL,2,8,1,1,0,0,0,2,,
7,55,25,0,1,1,0,0,0,3,腹部肌肉拉傷,腹部肌肉拉傷,3,5,1,1,0,1,1,1,,
7,20,25,0,0,1,0,0,0,2,拉傷的跟腱,拉傷的跟腱,3,2,1,1,0,0,2,0,,
30,90,35,0,0,1,0,0,0,2,前交叉韌帶拉傷,前交叉韌帶拉傷,3,2,1,1,0,0,2,0,,
20,21,25,0,0,1,0,0,0,2,拉傷的腳,一隻緊張的腳,1,1,0,1,0,0,2,0,,
7,95,25,0,1,0,0,0,0,1,前臂拉傷,前臂拉傷,4,10,0,1,0,1,0,2,,
15,68,25,0,0,1,0,0,0,2,腹股溝拉傷,拉傷的腹股溝肌肉,5,3,1,1,0,1,2,0,,
15,89,25,0,1,1,1,0,0,2,拉傷的腿筋,拉傷的腿筋,5,3,1,1,0,0,2,0,,
30,80,25,0,0,1,0,0,0,2,內側副韌帶拉傷,拉傷的內側副韌帶,3,2,1,1,0,0,2,0,,
7,60,25,0,1,1,1,0,0,3,拉緊斜,緊張的斜肌,5,5,0,1,0,1,1,1,,
22,60,25,0,1,0,0,0,0,1,肩部拉傷,緊張的肩膀,5,9,0,1,0,0,0,2,,
3,6,25,0,0,0,0,0,1,4,咽喉炎,咽喉炎,1,11,0,0,0,1,1,1,,
120,240,0,0,1,0,0,0,0,1,去除骨屑的手術（肘部）,他肘部的骨片,3,8,0,0,2,0,0,3,,
120,150,0,0,1,0,0,0,0,1,去除骨刺（肘部）的手術,肘部骨刺,2,8,0,0,2,0,0,3,,
115,155,0,0,0,0,0,0,1,3,胸廓出口綜合徵,胸廓出口綜合徵,1,5,0,0,1,1,0,3,,
30,120,0,0,0,1,0,0,0,3,腹肌撕裂,腹肌撕裂,3,5,1,0,1,0,3,0,,
30,120,0,0,0,1,1,0,0,2,腳踝韌帶撕裂,腳踝韌帶撕裂,2,1,1,0,1,0,3,3,,
177,285,0,0,0,1,0,0,0,2,前交叉韌帶撕裂,前交叉韌帶撕裂,3,2,1,0,2,0,3,0,,
120,155,0,0,1,1,1,0,0,3,背部肌肉撕裂,背部肌肉撕裂,3,6,1,0,1,0,3,0,,
60,90,0,0,1,0,0,0,0,1,撕裂的二頭肌,撕裂的二頭肌,2,10,0,0,1,0,0,3,,
90,140,0,0,0,1,0,0,0,2,小腿肌肉撕裂,小腿肌肉撕裂,3,3,1,0,1,0,3,0,,
255,350,0,0,1,0,0,0,0,1,肘部韌帶撕裂,伸展的肘部韌帶,5,8,1,0,2,0,0,3,,
180,435,0,0,1,0,0,0,0,1,撕裂的屈肌腱（肘部）,肘部屈肌腱撕裂,4,8,1,0,2,0,0,3,,
40,100,0,0,0,1,0,0,0,2,腹股溝撕裂,腹股溝肌肉撕裂,3,3,1,0,1,0,3,0,,
20,95,0,0,0,1,0,0,0,2,腿筋撕裂,腿筋撕裂,4,3,1,0,1,0,3,0,,
36,40,0,0,0,1,0,0,0,2,髖屈肌腱撕裂,撕裂的髖屈肌腱,2,4,1,0,1,0,3,0,,
120,360,0,1,1,0,1,0,0,1,撕裂的盂唇（肩膀）,撕裂的盂唇,4,9,1,0,1,0,0,3,,
69,69,0,0,0,1,0,0,0,2,足底筋膜肌腱撕裂,撕裂的足底筋膜肌腱,1,2,1,0,1,0,3,0,,
180,360,0,0,0,1,0,0,0,2,後交叉韌帶撕裂（膝蓋）,後交叉韌帶撕裂,3,2,1,0,1,0,3,0,,
23,74,0,0,0,1,0,0,0,2,撕裂的股四頭肌,撕裂的四邊形,4,3,1,0,1,0,3,0,,
75,90,0,0,0,0,1,0,0,3,肋骨肌肉撕裂,肋骨肌肉撕裂,3,5,1,0,1,1,0,3,,
120,450,0,1,1,0,0,0,0,1,撕裂的肩袖,撕裂的肩袖,3,9,1,0,1,0,0,3,,
105,115,0,0,0,1,0,0,0,2,大腿肌肉撕裂,大腿肌肉撕裂,2,3,1,0,1,0,3,0,,
12,90,0,0,0,0,1,0,0,1,拇指韌帶撕裂,拇指韌帶撕裂,4,7,1,0,1,0,0,3,,
60,120,0,0,1,0,0,0,0,1,三頭肌撕裂,三頭肌撕裂,2,10,0,0,2,0,0,3,,
270,455,0,1,1,0,0,0,0,1,撕裂的倫敦大學學院,尺側副韌帶撕裂,5,8,1,0,2,0,0,3,,
43,60,25,0,1,0,0,0,0,1,三頭肌拉傷,緊張的三頭肌,2,10,0,0,0,0,0,2,,
48,50,0,0,1,0,0,0,0,1,三頭肌腱炎,三頭肌腱炎,3,10,1,0,0,0,0,3,,
70,150,0,0,1,0,0,0,0,1,尺神經卡壓,尺神經卡壓,1,8,0,0,1,1,0,3,,
0,0,0,0,0,0,0,0,0,0,未公開的傷害,未公開的傷害,3,0,0,0,0,1,1,1,,
1,3,2,0,0,0,0,0,1,4,寒冷的,感冒了,5,0,0,0,0,1,1,1,,
1,3,5,0,0,0,1,1,0,1,卡住的手指,卡住的手指,2,7,0,0,0,0,0,1,,
3,3,5,0,0,0,1,1,0,4,耳朵腫了,耳朵腫了,1,11,0,0,0,1,0,0,,
1,5,7,0,0,1,1,1,0,2,腳踝瘀傷,腳踝受傷,3,1,0,0,0,0,1,1,,
3,3,7,0,0,1,0,0,0,2,腳後跟瘀傷,擦傷的腳後跟,2,1,0,0,0,0,1,0,,
3,72,7,0,1,1,1,0,0,2,腳踝扭傷,扭傷的腳踝,5,1,0,1,0,0,2,2,,
3,6,7,0,0,1,0,0,0,2,大腿肌肉拉傷,大腿肌肉拉傷,3,3,1,1,0,0,1,0,,
4,30,8,0,0,1,1,0,0,3,肋骨肌肉拉傷,拉傷的肋骨肌肉,4,5,1,1,0,1,1,0,,
2,10,10,0,0,1,1,1,0,1,拇指挫傷,拇指挫傷,2,7,0,0,0,1,0,1,,
3,10,10,0,0,1,1,1,0,2,擦傷的腳,瘀傷的腳,2,1,0,0,0,0,1,0,,
3,15,10,0,0,0,1,0,0,3,傷痕累累的脖子,傷痕累累的脖子,1,11,0,0,0,1,0,0,,
3,7,10,0,0,0,1,0,0,3,傷痕累累的肋骨,傷痕累累的肋骨,3,5,0,0,0,1,1,0,,
2,7,10,0,0,1,0,0,0,2,小腿酸痛,小腿肌肉酸痛,5,3,0,1,0,0,1,0,,
1,1,10,0,0,0,1,0,0,4,缺牙,一顆缺牙的牙齒,1,11,0,0,0,1,1,1,,
1,3,10,0,0,1,0,0,1,4,脫水,脫水,1,0,0,0,0,0,1,1,,
1,5,10,0,0,0,1,1,0,1,脫臼的手指,脫臼的手指,1,7,0,0,0,0,0,1,,
1,14,10,0,1,0,0,0,0,1,手指水泡,手指水泡,4,7,1,1,0,0,0,2,,
3,10,10,0,1,0,0,0,0,1,前臂酸痛,前臂酸痛,3,10,0,1,0,0,0,1,,
2,32,10,0,0,1,0,0,0,2,膝腱炎,膝腱炎,4,2,2,0,0,0,2,0,,
3,18,10,0,0,0,1,0,0,1,撕裂的手,受傷的手,1,7,0,0,0,1,0,1,,
1,7,10,0,1,1,0,0,0,2,輕度小牛拉傷,輕微的小牛拉傷,5,3,0,1,0,0,1,0,,
3,48,10,0,0,1,0,0,0,2,股四頭肌拉傷,緊張的四邊形,4,3,0,1,0,0,1,0,,
2,3,10,0,0,1,0,0,0,2,脛骨夾板,脛骨夾板,1,3,0,0,0,0,1,0,,
1,9,10,0,0,1,0,0,0,2,膝蓋酸痛,膝蓋酸痛,4,2,0,1,0,0,1,0,,
4,10,10,0,1,0,0,0,0,1,溫柔的肩膀,溫柔的肩膀,3,9,0,1,0,0,0,1,,
3,15,15,0,0,1,1,1,0,2,膝蓋挫傷,膝蓋挫傷,4,2,0,0,0,0,2,0,,
3,19,15,0,0,1,0,0,0,2,膝蓋發炎,膝蓋發炎,4,2,2,1,0,0,2,0,,
1,9,15,0,0,1,0,0,0,2,膝蓋酸痛,膝蓋酸痛,5,2,2,1,0,0,1,0,,
5,5,15,0,0,0,1,0,0,2,撕裂的脛骨,撕裂的脛骨,1,3,0,0,0,0,1,0,,
5,15,15,0,1,0,0,0,0,1,輕度肩部炎症,肩部炎症,5,9,0,1,0,0,0,2,,
3,15,15,0,1,0,1,0,0,1,輕度肩部拉傷,輕微的肩部拉傷,5,9,0,1,0,0,0,2,,
5,60,15,0,1,0,1,0,0,1,肩腱炎,肩腱炎,4,9,0,0,0,0,0,2,,
1,3,15,0,0,0,0,0,1,4,鼻竇感染,鼻竇感染,2,11,0,0,0,1,1,1,,
3,5,15,0,0,0,0,0,1,4,鼻竇炎,鼻竇炎,2,11,0,0,0,1,1,1,,
3,65,15,0,1,0,0,0,0,1,肩膀酸痛,肩膀酸痛,5,9,0,1,0,0,0,2,,
7,44,15,0,1,0,1,0,0,1,肘部扭傷,肘部扭傷,4,8,0,1,0,0,0,2,,
7,20,15,0,0,0,1,0,0,1,手指扭傷,手指扭傷,4,7,0,1,0,0,0,2,,
3,60,15,0,0,1,1,0,0,2,膝蓋扭傷,膝蓋扭傷,3,2,1,1,0,0,2,0,,
5,55,15,0,0,1,1,0,0,1,拇指扭傷,拇指扭傷,2,7,0,1,0,1,0,1,,
2,7,15,0,0,0,0,0,1,3,胃病毒,胃病毒,3,5,0,0,0,1,1,1,,
26,30,15,0,0,0,0,0,1,3,上呼吸道感染,上呼吸道感染,1,10,0,0,0,0,2,0,,
2,9,15,0,0,0,0,0,1,4,病毒感染,病毒感染,3,10,0,0,0,1,1,1,,
3,10,15,0,0,0,0,0,1,4,病毒,一種病毒,3,10,0,0,0,1,1,1,,
5,20,15,0,0,0,1,0,0,1,腕肌腱炎,腕肌腱炎,3,7,1,1,0,0,0,2,,
14,51,25,0,1,0,0,0,0,1,二頭肌拉傷,緊張的二頭肌,3,10,0,1,0,0,0,2,,
1,12,15,0,0,0,1,1,0,1,肘部瘀傷,擦傷的肘部,2,8,0,0,0,0,0,1,,
1,10,15,0,0,1,1,1,0,1,手腕瘀傷,受傷的手腕,2,7,0,0,0,1,0,0,,
2,5,15,0,0,0,0,0,1,4,結膜炎,結膜炎,1,0,0,0,0,2,0,0,,
1,5,15,0,0,1,0,0,0,4,眼睛刺激,眼睛刺激,1,11,0,0,0,2,0,0,,
3,10,15,0,1,1,1,0,0,1,手酸痛,手酸痛,2,7,0,1,0,0,0,1,,
2,18,15,0,0,1,0,0,0,2,髖屈肌拉傷,拉傷的髖屈肌,3,4,1,1,0,0,2,0,,
2,7,15,0,0,1,0,0,0,2,臀部酸痛,臀部疼痛,2,3,0,1,0,0,2,0,,
1,3,15,0,0,0,0,0,1,4,偏頭痛,偏頭痛,1,11,0,1,0,1,1,1,,
3,8,15,0,0,1,0,0,0,2,輕度腹股溝拉傷,輕微的腹股溝拉傷,4,3,0,1,0,0,2,0,,
1,15,15,0,1,1,1,0,0,2,輕度膕繩肌拉傷,輕微的腿筋拉傷,5,3,0,1,0,0,2,0,,
3,15,15,0,0,1,0,0,0,2,輕度髖部拉傷,拉傷的臀部肌肉,4,3,0,1,0,0,2,0,,
1,7,15,0,1,1,1,0,0,3,輕度斜拉傷,緊張的斜肌,5,5,0,1,0,1,1,1,,
22,30,15,0,1,0,0,0,0,1,二頭肌腱拉傷,拉傷的二頭肌腱,2,10,0,1,0,0,0,2,,
18,21,15,0,1,0,0,0,0,1,三頭肌腱拉傷,三頭肌腱拉傷,2,10,0,1,0,0,0,2,,
14,45,15,0,1,0,0,0,0,1,三頭肌拉傷,緊張的三頭肌,3,10,0,1,0,0,0,2,,
7,11,15,0,1,0,0,0,0,1,溫柔的肘部,溫柔的肘部,3,8,0,1,0,0,0,2,,
3,5,15,0,1,0,0,0,0,1,指甲撕裂,撕裂的指甲,2,7,0,0,0,0,0,2,,
90,150,0,0,1,1,1,0,0,2,半月板撕裂（膝蓋）,撕裂的半月板,3,3,1,0,1,1,2,1,,
2,2,15,0,0,0,1,0,0,3,鞭打,鞭打,1,6,0,0,0,1,0,2,,
3,5,20,0,0,0,0,0,1,4,噁心,噁心,1,10,0,0,0,1,1,1,,
5,8,20,0,0,0,1,0,0,3,頸部痙攣,頸部痙攣,2,6,0,1,0,1,0,1,,
5,20,20,0,1,0,0,0,0,1,疲倦的手臂,疲倦的手臂,4,10,0,0,0,0,0,3,,
1,10,20,0,1,1,1,0,0,3,背部痙攣,背部痙攣,4,6,2,1,0,1,2,0,,
1,15,20,0,1,1,1,0,0,3,背部僵硬,僵硬的背部,4,6,1,1,0,1,2,0,,
1,8,20,0,0,1,1,1,0,1,擦傷的手,受傷的手,1,7,0,0,0,0,0,2,,
3,3,20,0,0,0,1,1,0,2,臀部瘀傷,傷痕累累的臀部,3,4,1,0,0,0,2,0,,
1,3,20,0,0,0,1,1,0,4,下巴瘀傷,傷痕累累的下巴,1,11,0,0,0,1,1,1,,
1,10,20,0,0,1,1,1,0,2,膝蓋瘀傷,膝蓋受傷,4,2,0,0,0,0,2,0,,
3,5,20,0,0,1,1,1,0,2,瘀傷的脛骨,受傷的脛骨,3,3,0,0,0,0,2,0,,
1,8,20,0,0,0,0,0,1,4,流感樣症狀,流感樣症狀,5,10,0,0,0,1,1,1,,
2,7,20,0,0,1,1,0,0,2,腳痛,腳痛,2,1,0,1,0,0,2,0,,
3,5,20,0,1,0,0,0,0,1,前臂抽筋,前臂抽筋,2,10,0,1,0,0,0,2,,
1,7,20,0,0,1,0,0,0,2,腹股溝酸痛,腹股溝酸痛,4,3,0,1,0,1,1,1,,
2,4,20,0,0,1,0,0,0,2,膕繩肌痙攣,膕繩肌痙攣,3,3,0,1,0,0,2,0,,
6,12,20,0,0,0,1,0,0,1,肘部過伸,過度伸展的肘部,2,8,1,1,0,0,0,2,,
1,7,20,0,1,1,0,0,0,3,輕度腹部勞損,輕微的腹部拉傷,4,5,1,1,0,1,1,1,,
6,10,20,0,0,1,0,0,0,2,跟腱疼痛,跟腱疼痛,1,2,1,1,0,0,2,0,,
